,s,ns,V,delta
0,1651541648,308617212,0.0,0.0
0,1651541648,361303113,0.0,0.0
0,1651541648,415054362,0.0,0.0
0,1651541648,470198216,0.0,0.0
0,1651541648,522064468,0.0,0.0
0,1651541648,581109405,0.0,0.0
0,1651541648,627568479,0.0,0.0
0,1651541648,680285064,0.0,0.0
0,1651541648,731251325,0.0,0.0
0,1651541648,782898498,0.0,0.0
0,1651541648,834820040,0.0,0.0
0,1651541648,900885088,0.0,0.0
0,1651541648,945343178,0.0,0.0
0,1651541648,996986416,0.0,0.0
0,1651541649,58841106,0.0,0.0
0,1651541649,111908019,0.0,0.0
0,1651541649,162178425,0.0,0.0
0,1651541649,192569224,0.07912154495716095,0.0
0,1651541649,203398076,0.44164445996284485,0.0
0,1651541649,215092427,0.7007434964179993,0.0
0,1651541649,225037189,0.9078994393348694,0.0
0,1651541649,246087412,1.2187875509262085,0.0
0,1651541649,269782894,1.5295213460922241,0.0
0,1651541649,365003493,1.7366772890090942,0.0
0,1651541649,409013476,1.8402552604675293,0.0
0,1651541649,464573314,2.202932357788086,0.0
0,1651541649,515965509,2.669187545776367,0.0
0,1651541649,579525409,2.7727653980255127,0.0
0,1651541649,613127002,2.824554443359375,0.0
0,1651541649,672192929,2.7727653980255127,0.0
0,1651541649,727414182,2.824554443359375,0.0
0,1651541649,784286732,2.824554443359375,0.0
0,1651541649,816337978,2.824554443359375,0.0
0,1651541649,841820197,2.824554443359375,0.0
0,1651541649,888462609,2.669187545776367,0.0
0,1651541649,918970130,2.5138206481933594,0.0
0,1651541649,940121973,2.5138206481933594,0.0
0,1651541649,951546819,2.5138206481933594,0.0
0,1651541649,954173234,2.5138206481933594,0.0
0,1651541649,975031990,2.5138206481933594,0.0
0,1651541649,984934006,2.5138206481933594,0.0
0,1651541649,986912528,2.5138206481933594,0.0
0,1651541649,997995270,2.5656094551086426,0.0
0,1651541650,8298135,2.5138206481933594,0.0
0,1651541650,19841240,2.5656094551086426,0.0
0,1651541650,71377610,2.5656094551086426,0.0
0,1651541650,125023335,2.5656094551086426,0.0
0,1651541650,175110467,2.5656094551086426,0.0
0,1651541650,227721144,2.5656094551086426,0.0
0,1651541650,287496204,2.5656094551086426,0.0
0,1651541650,349403368,2.5656094551086426,0.0
0,1651541650,360413126,2.669187545776367,0.0
0,1651541650,516563787,2.669187545776367,0.0
0,1651541650,692125308,2.5656094551086426,0.0
0,1651541650,715485214,2.617398500442505,0.0
0,1651541650,745583663,2.5656094551086426,0.0
0,1651541650,796528230,2.5656094551086426,0.22377504408359528
0,1651541650,821091004,2.5656094551086426,0.3400000035762787
0,1651541650,908105582,2.5656094551086426,0.1779831051826477
0,1651541650,979367881,2.617398500442505,-0.1251268833875656
0,1651541651,17452313,2.669187545776367,-0.301261842250824
0,1651541651,46007870,2.617398500442505,-0.3400000035762787
