,s,ns,vx,vy,vz,wx,wy,wz,x,y,q.x,q.y,q.z,q.w
0,1651541648,305295071,0.0,0.0,0.0,0.0,0.0,0.0,-2.279642035489002,-0.5894256401322823,0.0,0.0,0.1800675232425972,0.9836542517944385
0,1651541648,326451617,0.0,0.0,0.0,0.0,0.0,0.0,-2.2571223210720484,-0.578480097294651,0.0,0.0,0.17955441555840862,0.9837480428714857
0,1651541648,346287804,0.0,0.0,0.0,0.0,0.0,0.0,-2.2455876974446913,-0.5738504451384164,0.0,0.0,0.1793470703543452,0.9837858650922535
0,1651541648,391047747,0.0,0.0,0.0,0.0,0.0,0.0,-2.2350730075502274,-0.5712928299586945,0.0,0.0,0.17870353653980742,0.9839029657583952
0,1651541648,447702338,0.0,0.0,0.0,0.0,0.0,0.0,-2.2322668052639054,-0.5681875659068308,0.0,0.0,0.17904526728359807,0.9838408368548974
0,1651541648,469895404,0.0,0.0,0.0,0.0,0.0,0.0,-2.2419983527851124,-0.5774610411337252,0.0,0.0,0.17867248631265836,0.9839086048179744
0,1651541648,519613298,0.0,0.0,0.0,0.0,0.0,0.0,-2.2871927521467392,-0.5922574946617996,0.0,0.0,0.18153023700422102,0.9833853634527978
0,1651541648,561400883,0.0,0.0,0.0,0.0,0.0,0.0,-2.270824331500085,-0.5938150192324366,0.0,0.0,0.18009513215977435,0.9836491973119041
0,1651541648,594127122,0.0,0.0,0.0,0.0,0.0,0.0,-2.2891552338720604,-0.5912308122682535,0.0,0.0,0.1793804565025921,0.9837797781134362
0,1651541648,638176076,0.0,0.0,0.0,0.0,0.0,0.0,-2.2616333886419038,-0.5881305925826719,0.0,0.0,0.1799205468893922,0.9836811459040079
0,1651541648,676200323,0.0,0.0,0.0,0.0,0.0,0.0,-2.257798213143378,-0.593765419758511,0.0,0.0,0.18098299192450126,0.9834862259503464
0,1651541648,721477614,0.0,0.0,0.0,0.0,0.0,0.0,-2.269808163645152,-0.5915190645396122,0.0,0.0,0.1802488497455967,0.9836210409326294
0,1651541648,757915070,0.0,0.0,0.0,0.0,0.0,0.0,-2.274180892578171,-0.5979278908696174,0.0,0.0,0.1795463310560111,0.983749518426477
0,1651541648,797874900,0.0,0.0,0.0,0.0,0.0,0.0,-2.26504781168252,-0.5953588867451695,0.0,0.0,0.180523015287081,0.9835707605208993
0,1651541648,849712739,0.0,0.0,0.0,0.0,0.0,0.0,-2.260752589244913,-0.5897188786673919,0.0,0.0,0.18007982941621567,0.9836519989495405
0,1651541648,884226771,0.0,0.0,0.0,0.0,0.0,0.0,-2.2678460442277677,-0.5936425864848981,0.0,0.0,0.18052273307502217,0.9835708123176106
0,1651541648,943574904,0.0,0.0,0.0,0.0,0.0,0.0,-2.27430386236782,-0.5781998524843263,0.0,0.0,0.1784669556868077,0.9839459058951783
0,1651541648,977016580,0.0,0.0,0.0,0.0,0.0,0.0,-2.2630664193622505,-0.5767089010498735,0.0,0.0,0.17978397225965193,0.9837061163368563
0,1651541649,13903808,0.0,0.0,0.0,0.0,0.0,0.0,-2.2437383311952592,-0.5820183539252576,0.0,0.0,0.17898553428705605,0.9838517055511857
