,s,ns,V,delta
0,1651541251,873654942,0.0,0.0
0,1651541251,925688216,0.0,0.0
0,1651541251,979170922,0.0,0.0
0,1651541252,32832167,0.0,0.0
0,1651541252,83933037,0.0,0.0
0,1651541252,138077106,0.0,0.0
0,1651541252,189389984,0.0,0.0
0,1651541252,242743489,0.0,0.0
0,1651541252,292277982,0.0,0.0
0,1651541252,343935044,0.0,0.0
0,1651541252,396166855,0.0,0.0
0,1651541252,450157566,0.0,0.0
0,1651541252,501061979,0.0,0.0
0,1651541252,553857117,0.0,0.0
0,1651541252,605719051,0.0,0.0
0,1651541252,657754789,0.0,0.0
0,1651541252,708601353,0.0,0.0
0,1651541252,765826216,0.0,0.0
0,1651541252,819355412,0.0,0.0
0,1651541252,870800115,0.0,0.0
0,1651541252,921069978,0.0,0.0
0,1651541252,977314282,0.0,0.0
0,1651541253,31133653,0.0,0.0
0,1651541253,81922464,0.0,0.0
0,1651541253,133599588,0.0,0.0
0,1651541253,186169408,0.0,0.0
0,1651541253,239042136,0.0,0.0
0,1651541253,291092145,0.0,0.0
0,1651541253,342737112,0.0,0.0
0,1651541253,394052358,0.0,0.0
0,1651541253,445277118,0.0,0.0
0,1651541253,496946787,0.0,0.0
0,1651541253,578610630,0.02733256295323372,0.0
0,1651541253,593570393,0.02733256295323372,0.0
0,1651541253,621499144,0.07912154495716095,0.0
0,1651541253,623693993,0.02733256295323372,0.0
0,1651541253,633941280,0.02733256295323372,0.0
0,1651541253,696144316,0.07912154495716095,0.0
0,1651541253,770695450,0.1826995313167572,0.0
0,1651541253,780605721,0.1826995313167572,0.0
0,1651541253,803733078,0.1826995313167572,0.0
0,1651541253,836603526,0.13091053068637848,0.0
0,1651541253,859689672,0.13091053068637848,0.0
0,1651541253,873676429,0.1826995313167572,0.0
0,1651541253,928099665,0.1826995313167572,0.0
0,1651541253,971537203,0.23448851704597473,0.0
0,1651541253,988611665,0.1826995313167572,0.0
0,1651541254,453615,0.1826995313167572,0.0
0,1651541254,9342853,0.23448851704597473,0.0
0,1651541254,123046296,0.3380664885044098,0.0
0,1651541254,180097995,0.3380664885044098,0.0
0,1651541254,211744617,0.3898554742336273,0.0
0,1651541254,263920787,0.3898554742336273,0.0
0,1651541254,307314138,0.44164445996284485,0.0
0,1651541254,318176746,0.3898554742336273,0.0
0,1651541254,339255926,0.3898554742336273,0.0
0,1651541254,400357713,0.4934334456920624,0.0
0,1651541254,444932879,0.4934334456920624,0.0
0,1651541254,455497090,0.5452224016189575,0.0
0,1651541254,512403717,0.5452224016189575,0.0
0,1651541254,559717285,0.5452224016189575,0.0
0,1651541254,582159026,0.5452224016189575,0.0
0,1651541254,654447575,0.4934334456920624,0.0
0,1651541254,665222450,0.5452224016189575,0.0
0,1651541254,789992734,0.5452224016189575,0.0
0,1651541254,830902150,0.5452224016189575,0.0
0,1651541254,883701127,0.5971655249595642,0.0
0,1651541254,914708848,0.7525324821472168,0.0
0,1651541254,946014806,0.8043214678764343,0.0
0,1651541254,978660384,0.8561104536056519,0.0
0,1651541255,62313563,0.9596884250640869,0.0
0,1651541255,125202118,1.063266396522522,0.0
0,1651541255,207774367,1.1150553226470947,0.0
0,1651541255,262262811,1.2187875509262085,0.0
0,1651541255,323330522,1.2705764770507812,0.0
0,1651541255,393618217,1.4777324199676514,0.03355347365140915
0,1651541255,413037557,1.5295213460922241,0.05117220804095268
0,1651541255,430576029,1.5813102722167969,0.06525881588459015
0,1651541255,507698288,1.6848883628845215,0.08992084860801697
0,1651541255,575833496,1.6848883628845215,0.1180940568447113
0,1651541255,612671578,1.7366772890090942,0.18854805827140808
0,1651541255,648626339,1.7366772890090942,0.24842660129070282
0,1651541255,670111199,1.788466215133667,0.2871752381324768
0,1651541255,672691347,1.788466215133667,0.29775065183639526
0,1651541255,735614746,1.788466215133667,0.3329671621322632
0,1651541255,807421496,1.7366772890090942,0.3329671621322632
0,1651541255,855605778,1.7366772890090942,0.3400000035762787
