,s,ns,vx,vy,vz,wx,wy,wz,x,y,q.x,q.y,q.z,q.w
0,1651541251,855578613,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541251,876645922,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541251,895494257,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541251,910096846,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541251,955864673,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541251,996870046,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,35449654,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,90077762,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,131135770,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,171447144,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,215336629,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,257010469,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,295317852,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,350416530,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,396645871,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,435604603,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,475108551,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,515251080,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,550257632,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,616212294,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,649985261,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,696070203,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,735543499,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,775344756,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,830992266,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,850026116,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,896648115,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,935119288,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541252,989832922,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541253,35415875,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541253,74988359,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541253,115434693,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
0,1651541253,150029004,0.0,0.0,0.0,0.0,0.0,0.0,3.835122983211865,0.0,0.0,0.0,0.0,1.0
