,s,ns,phi_r,phi_p,phi_y,ax,ay,az,wx,wy,wz,q.x,q.y,q.z,q.w
0,1651541251,830705411,-3.6988449756776234,0.9317015156480908,116.27184020350114,-0.01220703125,0.0673828125,0.99169921875,-0.06103515625,0.1220703125,-0.48828125,0.023938190191984177,-0.0231186393648386,-0.848970890045166,0.527390718460083
0,1651541251,855718149,-3.654926005540795,0.976077041242252,116.28000910974848,-0.0146484375,0.06494140625,0.9931640625,0.06103515625,0.1220703125,-0.3662109375,0.0240631103515625,-0.02259056456387043,-0.8490210175514221,0.5273271799087524
0,1651541251,876854345,-3.5304404718320237,0.9179178737378877,116.28951673307314,-0.01611328125,0.06201171875,1.00146484375,-0.30517578125,0.244140625,-0.3662109375,0.023057635873556137,-0.021938007324934006,-0.8490841388702393,0.5272981524467468
0,1651541251,895640192,-3.655433573973492,0.8632914081383009,116.29670209207998,-0.01708984375,0.06201171875,1.0068359375,-0.6103515625,0.244140625,-0.3662109375,0.023226704448461533,-0.02311716228723526,-0.8490878939628601,0.5272342562675476
0,1651541251,956391812,-3.6336636266545455,0.8738644342517748,116.31918707482767,-0.01513671875,0.06298828125,0.99169921875,0.1220703125,0.1220703125,-0.3662109375,0.023200364783406258,-0.02291172929108143,-0.84919673204422,0.527069091796875
0,1651541251,997151230,-3.5097614337895755,0.8796221236395368,116.3342134910017,-0.015625,0.0615234375,1.00830078125,-0.54931640625,0.244140625,-0.42724609375,0.022670233622193336,-0.0219699926674366,-0.8492906093597412,0.5269809365272522
0,1651541252,35801165,-3.692156086046065,0.8460188202226906,116.34768262404496,-0.013671875,0.06591796875,0.9931640625,0.06103515625,-0.06103515625,-0.30517578125,0.02325727790594101,-0.023479148745536804,-0.8493133187294006,0.5268537402153015
0,1651541252,76100605,-3.6908331637811984,0.9577079945214432,116.3605916815763,-0.0205078125,0.06201171875,1.00634765625,-0.3662109375,0.06103515625,-0.30517578125,0.024076154455542564,-0.022958142682909966,-0.8493829965591431,0.526727557182312
0,1651541252,110950374,-3.751785345047569,0.8560507139269997,116.37513998450842,-0.013671875,0.06689453125,0.99169921875,-0.244140625,0.1220703125,-0.48828125,0.023600038141012192,-0.023880597203969955,-0.849428117275238,0.5266351699829102
0,1651541252,156554636,-3.7145505687872444,0.9513362817994676,116.39177832532657,-0.01220703125,0.0654296875,0.99462890625,0.1220703125,0.1220703125,-0.244140625,0.0241316556930542,-0.023169824853539467,-0.8495209813117981,0.5264931917190552
0,1651541252,195217754,-3.6676912022127257,0.8613609725632732,116.40778828874107,-0.0146484375,0.0634765625,1.00341796875,-0.6103515625,0.0,-0.3662109375,0.02324628457427025,-0.02323943004012108,-0.8495960235595703,0.526408851146698
0,1651541252,257227564,-3.579517088565858,0.90409741283919,116.43487681898935,-0.01318359375,0.06640625,0.9970703125,0.1220703125,0.1220703125,-0.42724609375,0.023152697831392288,-0.022394681349396706,-0.8497416973114014,0.5262143611907959
0,1651541252,295460076,-3.6940207276894785,0.8759059137616682,116.44740338592715,-0.0166015625,0.06494140625,1.00732421875,-0.6103515625,0.244140625,-0.3662109375,0.023466961458325386,-0.02337588183581829,-0.8497738838195801,0.5261058211326599
0,1651541252,335726783,-3.7809327504437755,0.900031209127211,116.46330406631495,-0.015625,0.068359375,0.99072265625,0.0,0.06103515625,-0.48828125,0.02404150925576687,-0.02391286939382553,-0.8498311042785645,0.525963306427002
0,1651541252,379181919,-3.688961691948615,0.9271748077756649,116.48013365242986,-0.0166015625,0.064453125,0.99560546875,0.1220703125,0.244140625,-0.30517578125,0.023817211389541626,-0.02310960553586483,-0.8499297499656677,0.5258498787879944
0,1651541252,416431729,-3.7440736345878016,0.9047352884746457,116.49496882330712,-0.015625,0.06591796875,0.99755859375,-0.48828125,0.1220703125,-0.48828125,0.023900674656033516,-0.023624515160918236,-0.8499845266342163,0.5257346630096436
0,1651541252,457897625,-3.630435081611245,0.9304598086013236,116.5142436171449,-0.01611328125,0.064453125,0.9951171875,0.0,0.1220703125,-0.3662109375,0.023566246032714844,-0.022667426615953445,-0.850098192691803,0.525608241558075
0,1651541252,515383001,-3.561140251160527,0.8502558853856258,116.53931041139884,-0.01123046875,0.0634765625,0.99365234375,-0.3662109375,0.0,-0.42724609375,0.022648649290204048,-0.02252650260925293,-0.8502199053764343,0.5254576206207275
0,1651541252,550394768,-3.5620614729248326,0.84060173315893,116.55381773319596,-0.015625,0.0625,1.00048828125,-0.06103515625,0.1220703125,-0.30517578125,0.02257840894162655,-0.022580493241548538,-0.8502853512763977,0.5253525376319885
0,1651541252,595513262,-3.6601664681814876,0.9409702957952096,116.56914467769346,-0.0185546875,0.0625,1.0029296875,-0.54931640625,0.06103515625,-0.42724609375,0.023769618943333626,-0.022851133719086647,-0.8503448963165283,0.5251917839050293
0,1651541252,616384402,-3.686936113972883,0.8671536133096787,116.57657592351043,-0.0107421875,0.0673828125,0.99365234375,-0.18310546875,0.06103515625,-0.42724609375,0.023343199864029884,-0.023389890789985657,-0.85036700963974,0.5251513719558716
