,s,ns,vx,vy,vz,wx,wy,wz,x,y,q.x,q.y,q.z,q.w
0,1650775094,832999044,1.84475,0.0,0.0,1.84475,0.0,0.0,0.29324702797957514,3.681693323236089,-0.0,0.0,0.9855355085664934,-0.16946905721866534
0,1650775094,853100836,1.837875,0.0,0.0,1.837875,0.0,0.0,0.2751049609260392,3.6683176362011722,-0.0,0.0,0.9844968462701643,-0.17540227958638516
0,1650775094,871690419,1.82975,0.0,0.0,1.82975,0.0,0.0,0.20401615347784516,3.64512388198949,-0.0,0.0,0.9830018693626084,-0.18359554686761156
0,1650775094,892947871,1.81675,0.0,0.0,1.81675,0.0,0.0,0.20489750591793332,3.6288509594346823,-0.0,0.0,0.9813154976648351,-0.19240554576939098
0,1650775094,913477060,1.890625,0.0,0.0,1.890625,0.0,0.0,0.1924069170843804,3.629126608229052,-0.0,0.0,0.9799876481462272,-0.19905830673655986
0,1650775094,931800848,1.906,0.0,0.0,1.906,0.0,0.0,0.16789878095141045,3.6183629339007597,-0.0,0.0,0.9776525279090635,-0.2102273404508028
0,1650775094,953000380,1.9535,0.0,0.0,1.9535,0.0,0.0,0.08400042254997236,3.6078034394805076,-0.0,0.0,0.973941185497429,-0.2268007213213014
0,1650775094,969879415,1.88175,0.0,0.0,1.88175,0.0,0.0,0.045833173656880534,3.5704973597204566,-0.0,0.0,0.969962157877612,-0.24325585765898103
0,1650775094,992176400,1.89075,0.0,0.0,1.89075,0.0,0.0,-0.009846182137926896,3.529621470258956,-0.0,0.0,0.964519020654594,-0.2640133685923929
0,1650775095,12064909,1.91575,0.0,0.0,1.91575,0.0,0.0,0.02459854087207887,3.5321543685058505,-0.0,0.0,0.9658758042036196,-0.25900565795752606
0,1650775095,30509274,1.8715,0.0,0.0,1.8715,0.0,0.0,-0.028843172188673504,3.521862555450422,-0.0,0.0,0.9612857187603437,-0.2755535644977383
0,1650775095,52840275,1.8685,0.0,0.0,1.8685,0.0,0.0,-0.07264080621039602,3.502403620042791,-0.0,0.0,0.95515244325756,-0.2961145219997048
0,1650775095,68945062,1.825875,0.0,0.0,1.825875,0.0,0.0,-0.11109443028510758,3.456182924406194,-0.0,0.0,0.9481377579408334,-0.31785970484937137
0,1650775095,88634241,1.8075,0.0,0.0,1.8075,0.0,0.0,-0.08856519721973251,3.4371144043290984,-0.0,0.0,0.9484658902779413,-0.3168792435286229
