,s,ns,V,delta
0,1650775094,781591240,1.4777324199676514,0.27308863401412964
0,1650775094,803606461,1.425943374633789,0.28365358710289
0,1650775094,824682856,1.3741543292999268,0.29775065183639526
0,1650775094,864863623,1.425943374633789,0.29775065183639526
0,1650775094,885366923,1.4777324199676514,0.29775065183639526
0,1650775094,906239059,1.5813102722167969,0.29775065183639526
0,1650775094,916615879,1.5813102722167969,0.2871752381324768
0,1650775094,942540359,1.5813102722167969,0.28365358710289
0,1650775094,962198562,1.6330993175506592,0.25900202989578247
0,1650775094,985662343,1.6330993175506592,0.22025339305400848
0,1650775095,7717437,1.5813102722167969,0.1815047562122345
0,1650775095,27758492,1.5813102722167969,0.1216157078742981
0,1650775095,50231382,1.4777324199676514,0.1216157078742981
0,1650775095,59460316,1.4777324199676514,0.08639919757843018
0,1650775095,79812735,1.4777324199676514,0.07934542000293732
0,1650775095,101234221,1.4777324199676514,0.04765055701136589
0,1650775095,150960407,1.2187875509262085,0.030031822621822357
0,1650775095,201775884,0.7525324821472168,0.0441289059817791
0,1650775095,233917170,0.7007434964179993,0.06878046691417694
0,1650775095,253145032,0.7007434964179993,0.09344249963760376
0,1650775095,298861861,0.7525324821472168,0.23433999717235565
0,1650775095,309066902,0.8043214678764343,0.23433999717235565
0,1650775095,342967727,0.8561104536056519,0.2871752381324768
0,1650775095,351240395,0.8561104536056519,0.30479395389556885
0,1650775095,372062131,0.8561104536056519,0.30831560492515564
0,1650775095,392577399,0.7007434964179993,0.30831560492515564
0,1650775095,403355919,0.7007434964179993,0.31183725595474243
0,1650775095,444687291,0.44164445996284485,0.31183725595474243
0,1650775095,466388397,0.3898554742336273,0.31183725595474243
0,1650775095,528558177,0.44164445996284485,0.31183725595474243
0,1650775095,549590123,0.5452224016189575,0.30831560492515564
0,1650775095,573993338,0.7525324821472168,0.30831560492515564
0,1650775095,615384359,0.8043214678764343,0.30479395389556885
0,1650775095,636108333,0.9078994393348694,0.30479395389556885
0,1650775095,656809492,0.9596884250640869,0.2801319360733032
0,1650775095,678404036,0.9596884250640869,0.13923445343971252
0,1650775095,700026933,0.9596884250640869,0.07230211794376373
0,1650775095,719584430,0.8043214678764343,0.0
0,1650775095,741413953,0.7007434964179993,0.0
0,1650775095,794313198,0.7007434964179993,0.0
0,1650775095,908702759,0.7525324821472168,0.0
0,1650775095,929471694,0.8561104536056519,0.0
0,1650775095,949952050,1.2187875509262085,0.0
0,1650775095,959566013,1.2187875509262085,0.04765055701136589
0,1650775095,982915265,1.2705764770507812,0.09696415066719055
0,1650775096,3496582,1.2187875509262085,0.19559136033058167
0,1650775096,24003370,1.0114774703979492,0.19559136033058167
0,1650775096,69493124,0.8043214678764343,0.3400000035762787
0,1650775096,100169434,0.7525324821472168,0.3400000035762787
0,1650775096,150663692,0.7525324821472168,0.3400000035762787
0,1650775096,214065325,0.9078994393348694,0.3400000035762787
0,1650775096,234264238,1.2705764770507812,0.3400000035762787
0,1650775096,245485867,1.2705764770507812,0.3400000035762787
0,1650775096,277165644,1.5813102722167969,0.3329671621322632
0,1650775096,318292117,1.2187875509262085,0.0
0,1650775096,338961371,1.1150553226470947,0.0
0,1650775096,380074213,1.2705764770507812,0.0
0,1650775096,421302768,1.1150553226470947,0.0
0,1650775096,443322885,0.5452224016189575,0.0
0,1650775096,497001658,1.322365403175354,0.09344249963760376
0,1650775096,517500542,1.3741543292999268,0.19559136033058167
0,1650775096,559807253,0.9596884250640869,0.3400000035762787
0,1650775096,580199480,0.8561104536056519,0.3400000035762787
0,1650775096,610899310,1.2187875509262085,0.3400000035762787
0,1650775096,634488212,1.3741543292999268,0.3400000035762787
