,s,ns,x,y,q.x,q.y,q.z,q.w
0,1650776486,926357622,2.4759511398896787,6.030534909185545,0.0,0.0,0.7183630764955777,0.6956683766909407
0,1650776486,951126581,2.4878112594518105,6.060410657437503,0.0,0.0,0.7196122943259354,0.694376083873115
0,1650776486,969590009,2.4847349183704264,6.080208530419387,0.0,0.0,0.7192844268167092,0.6947157068463028
0,1650776486,994522076,2.4805083665547465,6.074782086337192,0.0,0.0,0.7186555909293619,0.6953661924669401
0,1650776487,13585775,2.476454810042382,6.099419432795998,0.0,0.0,0.7180827440755685,0.6959577376974133
0,1650776487,39560395,2.4757138341046687,6.1232768932684545,0.0,0.0,0.7183779560893254,0.6956530113533063
0,1650776487,69352837,2.4886005552033508,6.154567094479276,0.0,0.0,0.7225422748452481,0.6913267397269209
0,1650776487,92090033,2.474526945657808,6.163399014328051,0.0,0.0,0.7191427305090498,0.6948623843294356
0,1650776487,116961843,2.4592419717438805,6.199719648019719,0.0,0.0,0.7129789776074532,0.7011854087827489
0,1650776487,137249699,2.4608642215394294,6.200032483074773,0.0,0.0,0.7115020576628329,0.7026840128689101
0,1650776487,159522053,2.48120242379247,6.22131118545897,0.0,0.0,0.717644415826805,0.6964097159234669
0,1650776487,178019690,2.4695272749902397,6.239908293216724,0.0,0.0,0.7146891175534111,0.699442252977847
0,1650776487,199796863,2.4761617544809846,6.280637876815862,0.0,0.0,0.7177736940839619,0.6962764710092272
0,1650776487,244719819,2.465085105660492,6.317262398887321,0.0,0.0,0.7190915417798395,0.694915357824745
0,1650776487,263203440,2.4764330610501504,6.332733917679944,0.0,0.0,0.7215755555682863,0.6923356971919901
0,1650776487,284428152,2.480571802987695,6.359834297471496,0.0,0.0,0.7238993931745669,0.6899055504643327
0,1650776487,328660883,2.4738141468546715,6.4215672583437025,0.0,0.0,0.7204410468114065,0.6935161844321189
0,1650776487,375989754,2.472216952479782,6.465623042985239,0.0,0.0,0.7226491098954977,0.6912150634695723
0,1650776487,394900617,2.4604704424739663,6.507160333476814,0.0,0.0,0.7231370567045945,0.690704565802642
0,1650776487,415528354,2.4549745819941955,6.507975255114663,0.0,0.0,0.720590522758916,0.6933608717760414
0,1650776487,452500267,2.473051797194839,6.568377649404893,0.0,0.0,0.720394383612142,0.6935646560055393
0,1650776487,475942505,2.4497742466870362,6.595682212375526,0.0,0.0,0.7182261164861454,0.6958097768767192
