,s,ns,vx,vy,vz,wx,wy,wz,x,y,q.x,q.y,q.z,q.w
0,1650776487,3024172,0.967125,0.0,0.0,0.967125,0.0,0.0,68.62376022996078,-16.525302989040373,0.0,0.0,0.7783633883302408,0.6278140136274969
0,1650776487,11623583,0.959125,0.0,0.0,0.959125,0.0,0.0,68.62201415458517,-16.51724201878896,0.0,0.0,0.7783633883302408,0.6278140136274969
0,1650776487,39622509,0.952625,0.0,0.0,0.952625,0.0,0.0,68.6163676144723,-16.491174076643333,0.0,0.0,0.7783633883302408,0.6278140136274969
0,1650776487,50069996,0.94575,0.0,0.0,0.94575,0.0,0.0,68.61427587659972,-16.48151731325266,0.0,0.0,0.7783633883302408,0.6278140136274969
0,1650776487,71117424,0.939625,0.0,0.0,0.939625,0.0,0.0,68.61008916865896,-16.46218886464542,0.0,0.0,0.7783633883302408,0.6278140136274969
0,1650776487,95364514,0.934375,0.0,0.0,0.934375,0.0,0.0,68.60529293972365,-16.440046487915,0.0,0.0,0.7783633883302408,0.6278140136274969
0,1650776487,110244974,0.929125,0.0,0.0,0.929125,0.0,0.0,68.60236602834561,-16.426534044021395,0.0,0.0,0.7783633883302408,0.6278140136274969
0,1650776487,138030070,0.92425,0.0,0.0,0.92425,0.0,0.0,68.59692951534102,-16.40143571767557,0.0,0.0,0.7783633883302408,0.6278140136274969
0,1650776487,150032540,0.92075,0.0,0.0,0.92075,0.0,0.0,68.594589970212,-16.390634921816318,0.0,0.0,0.7783633883302408,0.6278140136274969
0,1650776487,173207540,0.91725,0.0,0.0,0.91725,0.0,0.0,68.59008982494151,-16.369859451490615,0.0,0.0,0.7783633883302408,0.6278140136274969
0,1650776487,190727585,1.03075,0.0,0.0,1.03075,0.0,0.0,68.58626679560075,-16.35220996956299,0.0,0.0,0.7783633883302408,0.6278140136274969
0,1650776487,215605058,1.07,0.0,0.0,1.07,0.0,0.0,68.58063159849034,-16.32619439377382,0.0,0.0,0.7783633883302408,0.6278140136274969
