,s,ns,V,delta
0,1650776487,10655751,0.9078994393348694,0.0
0,1650776487,65458277,0.9078994393348694,0.0
0,1650776487,116145183,0.9078994393348694,0.0
0,1650776487,167191777,0.9596884250640869,0.0
0,1650776487,187855035,1.063266396522522,0.0
0,1650776487,228859847,1.1150553226470947,0.0
0,1650776487,270131641,1.1150553226470947,0.0
0,1650776487,311561840,1.063266396522522,0.0
0,1650776487,365787712,1.063266396522522,0.0
0,1650776487,386419033,1.063266396522522,0.026510171592235565
0,1650776487,417865691,1.063266396522522,0.040607254952192307
0,1650776487,440335394,1.063266396522522,0.06525881588459015
0,1650776487,458981258,1.063266396522522,0.08639919757843018
0,1650776487,520428331,1.1150553226470947,0.08639919757843018
0,1650776487,542826927,1.1150553226470947,0.08287755399942398
0,1650776487,562579187,1.1150553226470947,0.07934542000293732
0,1650776487,594845225,1.1150553226470947,0.07582376897335052
0,1650776487,647704184,1.1150553226470947,0.07582376897335052
0,1650776487,666582118,1.1150553226470947,0.07230211794376373
0,1650776487,690703413,1.166844367980957,0.05117220804095268
0,1650776487,712244004,1.166844367980957,0.04765055701136589
0,1650776487,732219021,1.166844367980957,0.03355347365140915
0,1650776487,755556041,1.166844367980957,0.026510171592235565
0,1650776487,776230883,1.166844367980957,0.00890191551297903
0,1650776487,806761807,1.166844367980957,0.0
0,1650776487,840719662,1.166844367980957,0.0
0,1650776487,895084386,1.166844367980957,0.0
0,1650776487,946635856,1.166844367980957,0.0
0,1650776488,6796753,1.166844367980957,0.0
0,1650776488,110448507,1.166844367980957,0.0
0,1650776488,161071058,1.1150553226470947,0.0
0,1650776488,227020096,1.1150553226470947,0.0
0,1650776488,247935360,1.1150553226470947,0.0
0,1650776488,279892622,1.1150553226470947,0.0
0,1650776488,301555360,1.1150553226470947,0.005380264949053526
0,1650776488,331549215,1.1150553226470947,0.01594521850347519
0,1650776488,363136164,1.1150553226470947,0.030031822621822357
0,1650776488,382756772,1.1150553226470947,0.04765055701136589
0,1650776488,403496288,1.1150553226470947,0.07230211794376373
0,1650776488,434174095,1.1150553226470947,0.09696415066719055
0,1650776488,454541153,1.1150553226470947,0.10752910375595093
0,1650776488,475053847,1.1150553226470947,0.1216157078742981
0,1650776488,528062217,1.1150553226470947,0.1251373589038849
0,1650776488,570909570,1.063266396522522,0.12866950035095215
0,1650776488,594807371,1.063266396522522,0.13571280241012573
0,1650776488,615457348,1.063266396522522,0.13571280241012573
0,1650776488,647855869,1.063266396522522,0.1533210575580597
0,1650776488,678576173,1.063266396522522,0.17093980312347412
0,1650776488,711118570,1.063266396522522,0.1815047562122345
0,1650776488,732734843,1.063266396522522,0.1850264072418213
0,1650776488,789919186,1.063266396522522,0.19911301136016846
0,1650776488,807481728,1.063266396522522,0.20263466238975525
0,1650776488,830229101,1.063266396522522,0.22729669511318207
0,1650776488,850866566,1.063266396522522,0.26604533195495605
0,1650776488,868453653,1.063266396522522,0.2871752381324768
0,1650776488,898951999,1.063266396522522,0.3259238600730896
0,1650776488,905234649,1.063266396522522,0.3259238600730896
0,1650776488,926913420,1.063266396522522,0.3400000035762787
0,1650776488,937128518,1.063266396522522,0.3400000035762787
0,1650776488,958206282,1.063266396522522,0.3400000035762787
0,1650776488,999431259,1.063266396522522,0.3400000035762787
0,1650776489,19783533,1.063266396522522,0.3400000035762787
0,1650776489,40490792,1.063266396522522,0.3400000035762787
0,1650776489,62834922,1.063266396522522,0.3400000035762787
0,1650776489,102746395,1.063266396522522,0.3400000035762787
0,1650776489,139657570,1.063266396522522,0.3400000035762787
0,1650776489,167288262,1.063266396522522,0.3400000035762787
0,1650776489,187863485,1.063266396522522,0.3400000035762787
0,1650776489,263744030,1.063266396522522,0.3400000035762787
0,1650776489,347827495,1.063266396522522,0.3400000035762787
0,1650776489,385376350,1.063266396522522,0.3400000035762787
0,1650776489,426978904,1.063266396522522,0.3400000035762787
0,1650776489,446865566,1.063266396522522,0.3400000035762787
0,1650776489,479231414,1.0114774703979492,0.3400000035762787
0,1650776489,499318370,1.063266396522522,0.3400000035762787
0,1650776489,521384894,1.063266396522522,0.318880558013916
0,1650776489,532876599,1.063266396522522,0.318880558013916
0,1650776489,552415125,1.063266396522522,0.19911301136016846
0,1650776489,562878069,1.063266396522522,0.1251373589038849
0,1650776489,596653839,1.063266396522522,0.0
0,1650776489,626445128,1.1150553226470947,0.0
0,1650776489,679520571,1.063266396522522,0.0
0,1650776489,733461955,1.063266396522522,0.0
0,1650776489,781223155,1.063266396522522,0.0
0,1650776489,834399720,1.063266396522522,0.0
0,1650776489,854568886,1.063266396522522,0.0
0,1650776489,875081100,1.1150553226470947,0.0
0,1650776489,938558973,1.1150553226470947,0.05117220804095268
0,1650776489,970004830,1.1150553226470947,0.1180940568447113
0,1650776489,990311599,1.166844367980957,0.14275610446929932
0,1650776490,9945903,1.2187875509262085,0.16740766167640686
0,1650776490,94206748,1.166844367980957,0.16740766167640686
0,1650776490,118488878,1.166844367980957,0.1216157078742981
0,1650776490,150968904,1.166844367980957,0.08992084860801697
0,1650776490,191951635,1.166844367980957,0.08992084860801697
0,1650776490,223377555,1.166844367980957,0.08639919757843018
0,1650776490,255071514,1.166844367980957,0.07230211794376373
0,1650776490,284561451,1.166844367980957,0.06173716112971306
0,1650776490,297306915,1.166844367980957,0.040607254952192307
0,1650776490,328085044,1.2187875509262085,0.01594521850347519
0,1650776490,340184924,1.166844367980957,0.0018586142687126994
0,1650776490,358737954,1.166844367980957,0.0
0,1650776490,414221550,1.166844367980957,0.0
0,1650776490,444352463,1.166844367980957,0.0018586142687126994
0,1650776490,463938702,1.166844367980957,0.01594521850347519
0,1650776490,515280758,1.166844367980957,0.030031822621822357
0,1650776490,537137965,1.166844367980957,0.026510171592235565
0,1650776490,598694158,1.166844367980957,0.012423567473888397
0,1650776490,621913670,1.2187875509262085,0.0018586142687126994
0,1650776490,720802328,1.166844367980957,0.01946686953306198
0,1650776490,728803932,1.1150553226470947,0.022988520562648773
0,1650776490,755964884,1.1150553226470947,0.040607254952192307
0,1650776490,772812016,1.063266396522522,0.0441289059817791
0,1650776490,793570860,1.063266396522522,0.04765055701136589
0,1650776490,813879037,1.0114774703979492,0.054693859070539474
0,1650776490,837252408,0.9596884250640869,0.058215510100126266
0,1650776490,856794806,0.9078994393348694,0.058215510100126266
0,1650776490,879497953,0.9596884250640869,0.058215510100126266
0,1650776490,948522458,0.9596884250640869,0.058215510100126266
0,1650776490,969209395,0.9596884250640869,0.06173716112971306
0,1650776490,991946816,0.9596884250640869,0.07582376897335052
0,1650776491,24977959,0.9596884250640869,0.08287755399942398
0,1650776491,46275472,0.9596884250640869,0.08639919757843018
0,1650776491,63557046,0.9596884250640869,0.08287755399942398
0,1650776491,93873467,0.9596884250640869,0.07582376897335052
0,1650776491,124786607,0.9596884250640869,0.07582376897335052
0,1650776491,148033895,0.9596884250640869,0.06878046691417694
0,1650776491,158165823,0.9596884250640869,0.04765055701136589
0,1650776491,179608363,0.9596884250640869,0.03355347365140915
0,1650776491,202599965,0.9596884250640869,0.0018586142687126994
0,1650776491,234182465,0.9078994393348694,0.0
0,1650776491,274805506,0.9596884250640869,0.0
0,1650776491,326674134,0.9596884250640869,0.0
0,1650776491,367304920,1.063266396522522,0.0
0,1650776491,420635535,1.063266396522522,0.0
0,1650776491,445919705,1.1150553226470947,0.0
0,1650776491,486872515,1.166844367980957,0.0
0,1650776491,508015079,1.2187875509262085,0.0
0,1650776491,559997118,1.2187875509262085,0.0
0,1650776491,621046835,1.2187875509262085,-0.03706464171409607
0,1650776491,651760065,1.2187875509262085,-0.058205027133226395
0,1650776491,672784099,1.3741543292999268,-0.06876998394727707
0,1650776491,693317017,1.3741543292999268,-0.0863887220621109
0,1650776491,725061921,1.3741543292999268,-0.09343202412128448
0,1650776491,765071507,1.3741543292999268,-0.10047532618045807
0,1650776491,786799846,1.322365403175354,-0.10047532618045807
0,1650776491,818136005,1.2705764770507812,-0.09695367515087128
0,1650776491,839075492,1.2705764770507812,-0.06876998394727707
0,1650776491,862395134,1.2705764770507812,-0.0018481331644579768
0,1650776491,885335311,1.2705764770507812,0.0
0,1650776491,903079905,1.2187875509262085,0.0
0,1650776491,935256020,1.166844367980957,0.0
0,1650776491,966258089,1.1150553226470947,0.0
0,1650776492,19465022,1.1150553226470947,0.0
0,1650776492,67569237,1.1150553226470947,0.0
0,1650776492,111008091,1.1150553226470947,0.0
0,1650776492,129042004,1.1150553226470947,0.0
0,1650776492,185134702,1.1150553226470947,0.0
0,1650776492,214577694,1.063266396522522,0.0
0,1650776492,258093509,1.1150553226470947,0.0
0,1650776492,307484892,1.1150553226470947,0.0
0,1650776492,358036911,1.166844367980957,0.005380264949053526
0,1650776492,378775530,1.2187875509262085,0.026510171592235565
0,1650776492,388910977,1.2187875509262085,0.054693859070539474
0,1650776492,420478597,1.2187875509262085,0.06878046691417694
0,1650776492,443455926,1.2187875509262085,0.07582376897335052
0,1650776492,461784598,1.2187875509262085,0.08639919757843018
0,1650776492,523478202,1.2705764770507812,0.08639919757843018
0,1650776492,543936558,1.322365403175354,0.08287755399942398
0,1650776492,564327040,1.3741543292999268,0.06878046691417694
0,1650776492,584894966,1.322365403175354,0.054693859070539474
0,1650776492,605659314,1.3741543292999268,0.022988520562648773
0,1650776492,628530881,1.322365403175354,0.005380264949053526
0,1650776492,639323624,1.322365403175354,0.0
0,1650776492,662359259,1.3741543292999268,0.0
0,1650776492,719686356,1.3741543292999268,0.0
0,1650776492,770691858,1.322365403175354,0.0
0,1650776492,794432534,1.322365403175354,0.0
0,1650776492,845453589,1.322365403175354,0.0
0,1650776492,900718683,1.322365403175354,-0.030021339654922485
