,s,ns,V,delta
0,1651608966,722993931,0.7525324821472168,0.12866950035095215
0,1651608966,852743139,0.7525324821472168,0.19206970930099487
0,1651608966,883955353,0.7525324821472168,0.30127230286598206
0,1651608966,955729375,0.7525324821472168,0.3400000035762787
0,1651608967,62448875,0.7525324821472168,0.1251373589038849
0,1651608967,132443066,0.7525324821472168,0.2906968891620636
0,1651608967,176117394,0.7525324821472168,0.3400000035762787
0,1651608967,213567513,0.7525324821472168,0.3400000035762787
0,1651608967,300005086,0.7525324821472168,0.10400745272636414
0,1651608967,360977399,0.7525324821472168,0.1850264072418213
0,1651608967,403314686,0.7525324821472168,0.30479395389556885
0,1651608967,514580069,0.7525324821472168,0.3400000035762787
0,1651608967,554811025,0.8043214678764343,0.3400000035762787
0,1651608967,627822503,0.8043214678764343,0.3400000035762787
0,1651608967,698623072,0.7525324821472168,0.3400000035762787
0,1651608967,749276915,0.7525324821472168,0.3400000035762787
0,1651608967,796891038,0.7525324821472168,0.3400000035762787
0,1651608967,832405676,0.8043214678764343,0.3400000035762787
0,1651608967,927042299,0.8043214678764343,0.3400000035762787
0,1651608968,20938113,0.8561104536056519,0.3400000035762787
0,1651608968,29512688,0.9078994393348694,0.3400000035762787
0,1651608968,41732399,0.9596884250640869,0.3400000035762787
0,1651608968,79542843,1.2705764770507812,0.23433999717235565
0,1651608968,232512289,1.2705764770507812,0.0018586142687126994
0,1651608968,317301200,1.2705764770507812,0.19911301136016846
0,1651608968,352527387,1.1150553226470947,0.3153589069843292
0,1651608968,379359032,1.063266396522522,0.3400000035762787
0,1651608968,411903583,1.063266396522522,0.3400000035762787
0,1651608968,436620673,1.0114774703979492,0.3400000035762787
0,1651608968,493226113,0.8561104536056519,0.3400000035762787
0,1651608968,516695858,0.7007434964179993,0.3400000035762787
0,1651608968,612258574,0.6489545106887817,0.3400000035762787
0,1651608968,700276135,0.5452224016189575,0.3400000035762787
0,1651608968,736236795,0.5452224016189575,0.3400000035762787
0,1651608968,746238557,0.5971655249595642,0.3400000035762787
0,1651608968,877256037,0.7007434964179993,0.3400000035762787
0,1651608968,946509194,0.7007434964179993,0.24138329923152924
0,1651608968,978980497,0.7007434964179993,0.11105075478553772
0,1651608969,43368598,0.7525324821472168,0.11105075478553772
0,1651608969,59207716,0.7525324821472168,0.1497994065284729
0,1651608969,99103147,0.8043214678764343,0.20967796444892883
0,1651608969,152420801,0.8043214678764343,0.27661028504371643
0,1651608969,234566126,0.7007434964179993,0.2801319360733032
0,1651608969,287392925,0.5971655249595642,0.1779831051826477
0,1651608969,331209815,1.0114774703979492,0.1533210575580597
0,1651608969,381321059,1.7366772890090942,0.16036435961723328
0,1651608969,417395096,2.202932357788086,0.1779831051826477
0,1651608969,492455177,2.0993545055389404,0.25900202989578247
0,1651608969,546324486,1.3741543292999268,0.20263466238975525
0,1651608969,555157080,1.2187875509262085,0.1251373589038849
0,1651608969,561542444,1.166844367980957,0.10400745272636414
0,1651608969,563063423,1.166844367980957,0.07934542000293732
0,1651608969,574191664,1.063266396522522,0.03707512468099594
0,1651608969,584928860,0.9596884250640869,0.0
0,1651608969,587070104,0.8561104536056519,0.0
0,1651608969,600185986,0.5971655249595642,0.0
0,1651608969,604191318,0.28627750277519226,0.0
0,1651608969,828666815,0.0,0.0
0,1651608970,15821538,0.0,0.00890191551297903
0,1651608970,70825997,0.0,0.058215510100126266
0,1651608970,127593136,0.0,0.07582376897335052
