,s,ns,phi_r,phi_p,phi_y,ax,ay,az,wx,wy,wz,q.x,q.y,q.z,q.w
0,1651608966,681217419,-5.959538126322055,1.4406992721501943,-130.61585217755322,0.02685546875,0.1064453125,0.9794921875,0.0,-9.1552734375,16.9677734375,0.010306701995432377,0.05247136577963829,0.9069928526878357,0.4177373945713043
0,1651608966,734916166,-6.037739523450471,0.3316216390991334,-132.44635653549497,0.02880859375,0.06787109375,0.94677734375,2.86865234375,-0.1220703125,34.66796875,0.01858842931687832,0.04935973882675171,0.9137876033782959,0.40275344252586365
0,1651608966,824082510,-6.148580687075084,-0.32290308938659723,-135.13549763437737,0.03271484375,0.07421875,0.96728515625,-2.50244140625,7.568359375,17.63916015625,0.023065801709890366,0.04849866032600403,0.9230551719665527,0.38090044260025024
0,1651608966,870085893,-5.919450038535958,0.25935711710248777,-135.34288949833564,-0.015625,0.0947265625,1.00927734375,-1.220703125,-0.1220703125,3.7841796875,0.017525766044855118,0.04862108826637268,0.9237398505210876,0.3795175850391388
0,1651608966,931735783,-5.685731210421877,-0.019787818417680632,-135.92953444614804,-0.04736328125,0.037109375,1.08544921875,-4.45556640625,-7.8125,20.32470703125,0.01876751147210598,0.04590940102934837,0.925815761089325,0.37470704317092896
0,1651608966,990423458,-5.620390632613773,-1.1282538693935478,-137.74536755775262,0.1279296875,0.060546875,1.01220703125,-3.0517578125,-4.39453125,40.8935546875,0.02684354968369007,0.04218519851565361,0.9317889213562012,0.3595404624938965
0,1651608967,75701784,-5.195499505386089,-1.7030847243759364,-141.33209113622306,0.01318359375,0.08544921875,0.9345703125,3.0517578125,2.25830078125,36.31591796875,0.029012978076934814,0.03784773498773575,0.9427541494369507,0.3300614058971405
0,1651608967,135670884,-4.687622433516397,-1.454551963004038,-143.04388680639,-0.0791015625,0.072265625,1.0419921875,1.77001953125,-0.9765625,19.59228515625,0.024989094585180283,0.03476472944021225,0.9477398991584778,0.3161585330963135
0,1651608967,195977204,-4.338623245704017,-1.7490594747312327,-144.47493438091274,0.0888671875,0.07080078125,0.8681640625,1.40380859375,-3.11279296875,27.16064453125,0.02607126161456108,0.03139098361134529,0.9517120122909546,0.3042682707309723
0,1651608967,255025077,-4.3100376233670445,-2.234672904671034,-146.82565326679935,0.12890625,0.03515625,0.8916015625,0.67138671875,-1.77001953125,42.17529296875,0.029408004134893417,0.030468851327896118,0.9577358961105347,0.28451502323150635
0,1651608967,334643968,-4.13565350234651,-2.859620486131803,-150.51625036216734,0.1015625,0.09228515625,0.9921875,3.2958984375,3.11279296875,39.61181640625,0.03329409658908844,0.028538575395941734,0.9663804769515991,0.253349244594574
0,1651608967,371554049,-3.9965899970714043,-2.7634238884179316,-151.7558750550113,0.0703125,0.04443359375,0.9150390625,0.18310546875,5.67626953125,23.86474609375,0.03187546506524086,0.027926361188292503,0.9691117405891418,0.24295374751091003
0,1651608967,435655522,-3.9587464802013024,-2.586534368632472,-152.87355355041385,0.11279296875,0.1123046875,1.0166015625,1.52587890625,2.86865234375,20.20263671875,0.030025452375411987,0.028278015553951263,0.971467137336731,0.23356080055236816
0,1651608967,510891093,-3.9261596476711715,-3.2236900594609925,-155.56261268702622,0.0849609375,0.03515625,0.962890625,0.48828125,-0.18310546875,39.97802734375,0.03472205623984337,0.027516577392816544,0.9765908122062683,0.21049411594867706
0,1651608967,573676582,-3.167493610847655,-3.2925326033226088,-158.5585385626689,0.1474609375,-0.0126953125,1.55810546875,8.30078125,0.54931640625,43.5791015625,0.03335575759410858,0.021802306175231934,0.9819124937057495,0.1850941926240921
0,1651608967,639662753,-3.0581316100651725,-3.5306201911845596,-161.36433929257512,-0.07470703125,0.15185546875,0.9365234375,17.578125,-10.68115234375,50.048828125,0.03470669686794281,0.021333491429686546,0.9861189723014832,0.16096535325050354
0,1651608967,695548792,-2.571979662397998,-3.76646939798945,-164.79750655812535,0.1064453125,0.1298828125,0.96044921875,3.2958984375,6.53076171875,55.908203125,0.03553284332156181,0.017887720838189125,0.9905253648757935,0.13144223392009735
0,1651608967,756051371,-2.290511835570004,-4.084117163737825,-168.4136409311619,0.09423828125,0.2353515625,0.88916015625,21.6064453125,-6.8359375,54.62646484375,0.03746021166443825,0.016276434063911438,0.9941341876983643,0.10014508664608002
0,1651608967,838427162,-2.3940466177734074,-4.563777870372549,-173.4350730655502,0.076171875,0.1357421875,0.87255859375,-5.92041015625,-2.99072265625,63.8427734375,0.0409371592104435,0.018560361117124557,0.9973976612091064,0.05637020245194435
0,1651608967,897388762,-2.0675422311056417,-4.943555598132298,-177.99048139286853,0.1767578125,0.1669921875,0.93359375,-4.57763671875,-1.3427734375,66.162109375,0.04342970624566078,0.017266040667891502,0.998767077922821,0.01673833280801773
0,1651608967,955220266,-1.8363125800572069,-5.30729902992862,178.19341997348795,0.10498046875,0.2236328125,0.94287109375,12.02392578125,-0.79345703125,68.54248046875,0.0460343174636364,0.01673477701842785,0.9986636638641357,-0.016487590968608856
0,1651608968,10255670,-1.224298602120092,-5.857665427964492,173.87221883280935,0.23681640625,-0.005859375,1.07861328125,-4.8828125,12.0849609375,67.56591796875,0.05044926330447197,0.01338548306375742,0.997180163860321,-0.053921766579151154
0,1651608968,75278692,-0.6041962394626537,-6.185742892575477,169.32586733633045,0.345703125,-0.09130859375,1.23828125,3.41796875,0.06103515625,74.03564453125,0.05323020741343498,0.010260576382279396,0.9941741824150085,-0.09316117316484451
0,1651608968,134593895,0.20528044171044732,-6.2036260353698625,164.28931316311971,0.4130859375,-0.2685546875,1.2119140625,-5.92041015625,-1.52587890625,85.75439453125,0.053847044706344604,0.005623394623398781,0.9891766905784607,-0.1363760381937027
0,1651608968,190203195,0.06269600726873294,-6.203115478729404,160.06037421774965,0.06884765625,0.11279296875,0.9775390625,5.4931640625,1.0986328125,55.0537109375,0.053383491933345795,0.008829251863062382,0.9834613800048828,-0.17284651100635529
0,1651608968,254628577,-0.21378206621576945,-5.8131095426875605,158.36241651084117,0.0146484375,0.2333984375,0.97802734375,2.9296875,-0.6103515625,9.94873046875,0.049456093460321426,0.011347982101142406,0.9809427857398987,-0.18755462765693665
0,1651608968,295975963,-0.5739783619966066,-5.503920539339423,158.106940115126,0.05224609375,0.14892578125,0.97021484375,2.0751953125,1.5869140625,7.14111328125,0.04618806391954422,0.014029151760041714,0.9806146025657654,-0.1899075210094452
0,1651608968,350385407,-0.9384988345327229,-5.3040790226217815,157.74480348533191,-0.037109375,0.12109375,0.91162109375,1.89208984375,-9.33837890625,8.7890625,0.04381997510790825,0.01695689558982849,0.9800429940223694,-0.1931532621383667
0,1651608968,395237126,-1.2792795972262847,-5.409878652865279,156.9787294680233,0.0927734375,0.18994140625,1.02978515625,3.5400390625,-7.62939453125,30.1513671875,0.0440153144299984,0.020343557000160217,0.9786298274993896,-0.19983139634132385
