,s,ns,x,y,q.x,q.y,q.z,q.w
0,1651608966,647551061,2.18641799848803,0.7872180667630545,0.0,0.0,0.035254626440556436,0.9993783624406408
0,1651608966,748511095,2.283727535161103,0.7854989710899946,0.0,0.0,0.05321330619806248,0.9985831683157248
0,1651608966,812664858,2.31109809734711,0.7891549179606563,0.0,0.0,0.06968431355132755,0.9975690935694029
0,1651608966,863058953,2.33996978054251,0.8118261768068169,0.0,0.0,0.07693861463324042,0.9970358316421319
0,1651608966,918571835,2.3654121350071815,0.8237254191666283,0.0,0.0,0.07813388873567034,0.9969428747079955
0,1651608966,979297329,2.392437553972167,0.8388647061901731,0.0,0.0,0.0863929739844933,0.9962611374765727
0,1651608967,39316606,2.4632277458704652,0.8462981212392866,0.0,0.0,0.11147329146887804,0.9937674301812747
0,1651608967,98719491,2.4665132767017086,0.8822018110722011,0.0,0.0,0.1257505455408874,0.9920618933797272
0,1651608967,181428759,2.523357326801403,0.8838335165014812,0.0,0.0,0.14682123446803066,0.989163042733241
0,1651608967,245996095,2.598697221704303,0.9216929257985768,0.0,0.0,0.16667868673827546,0.9860112653449776
0,1651608967,302630912,2.5811308158105724,0.9292107101697548,0.0,0.0,0.18070169367698746,0.9835379493960913
0,1651608967,369633288,2.652035599350869,0.9548245185516786,0.0,0.0,0.20833967881729068,0.978056531203748
0,1651608967,434071566,2.6766549334343903,0.9979116241088318,0.0,0.0,0.21906131276509277,0.9757110951760435
0,1651608967,496593883,2.724788027574726,1.0331970035409581,0.0,0.0,0.2342949648580054,0.9721655566014391
0,1651608967,557496884,2.739119302266685,1.0353919505905793,0.0,0.0,0.25093414937982683,0.9680041594306414
0,1651608967,622886694,2.78161435352236,1.0712395888005264,0.0,0.0,0.2755004712751027,0.9613009364019138
0,1651608967,681451680,2.794085954615487,1.1226451495332965,0.0,0.0,0.29676349158799653,0.9549510092462865
0,1651608967,735783459,2.8354644825424264,1.151540584426593,0.0,0.0,0.33253252890745694,0.9430917862108711
